DRUG2,Abacavir,Acyclovir,Adefovir,Adefovir dipivoxil,Amantadine,Amprenavir,Asunaprevir,Atazanavir,Baloxavir marboxil,Beclabuvir,Bictegravir,Boceprevir,Brivudine,Calanolide A,Carmofur,Chloroquine,Cidofovir,Clevudine,Cobicistat,Daclatasvir,Darunavir,Dasabuvir,Delavirdine,Dexamethasone,Didanosine,Docosanol,Dolutegravir,Doravirine,Edoxudine,Efavirenz,Elbasvir,Elvitegravir,Elvucitabine,Emtricitabine,Enfuvirtide,Entecavir,Etravirine,Faldaprevir,Famciclovir,Favipiravir,Fomivirsen,Fosamprenavir,Foscarnet,Ganciclovir,Geldanamycin,Glecaprevir,Grazoprevir,Hydroxychloroquine,Ibalizumab,Ibuprofen,Idoxuridine,Imiquimod,Indinavir,Inosine pranobex,Interferon alfa,"Interferon alfa-2a, Recombinant",Interferon alfa-n1,Interferon alfacon-1,Interferon beta-1a,Lamivudine,Laninamivir,Laninamivir octanoate,Ledipasvir,Leronlimab,Letermovir,Lopinavir,Maraviroc,Maribavir,Metisazone,Moroxydine,Nelfinavir,Nevirapine,Ombitasvir,Oseltamivir,Palivizumab,Paritaprevir,Peginterferon alfa-2a,Peginterferon alfa-2b,Peginterferon alfacon-1,Penciclovir,Peramivir,Phosphonoacetic Acid,Pibrentasvir,Pleconaril,Podofilox,Raltegravir,Remdesivir,Ribavirin,Rilpivirine,Rimantadine,Ritonavir,Saquinavir,Simeprevir,Sinecatechins,Sofosbuvir,Stavudine,Taribavirin,Tecovirimat,Tegobuvir,Telaprevir,Telbivudine,Tenofovir,Tenofovir alafenamide,Tenofovir disoproxil,Tenofovir disoproxil fumarate,Tipranavir,Triazavirin,Trifluridine,Tromantadine,UC-781,Umifenovir,Valaciclovir,Valganciclovir,Valomaciclovir,Vaniprevir,Velpatasvir,Vidarabine,Voxilaprevir,Zalcitabine,Zanamivir,Zidovudine
Faldaprevir,0.181319,0.103352,0.087248,0.087248,0.091703,0.327078,0.51751,0.32948,0.175824,0.26087,0.215881,0.309987,0.174785,0.130221,0.12835,0.174033,0.061008,0.046512,0.368301,0.310943,0.325611,0.0,0.223203,0.134146,0.117241,0.0,0.225806,0.152416,0.160458,0.089744,0.377551,0.266667,0.112676,0.076294,0.0,0.150685,0.199478,1.0,0.168478,0.087928,0.0,0.310433,0.030303,0.100543,0.233533,0.44,0.5621,0.171662,0.0,0.157895,0.114206,0.248097,0.299766,0.218451,0.0,0.0,0.0,0.0,0.0,0.067031,0.170068,0.181592,0.308951,0.0,0.207675,0.258503,0.297229,0.218837,0.066127,0.066282,0.319095,0.161202,0.0,0.219158,0.0,0.341991,0.167582,0.074766,0.0,0.08871,0.133333,0.043873,0.291702,0.144654,0.233933,0.195517,0.210407,0.051248,0.134402,0.111111,0.354535,0.360947,0.408451,0.0,0.184834,0.047745,0.025641,0.138311,0.141907,0.359338,0.149425,0.11413,0.146572,0.15566,0.201373,0.125131,0.0,0.143251,0.115538,0.0,0.158157,0.181319,0.190798,0.151776,0.369863,0.335312,0.084967,0.498829,0.117479,0.122853,0.096257
Famciclovir,0.509434,0.40411,0.34375,0.34375,0.0,0.157495,0.109551,0.17378,0.111111,0.119082,0.104972,0.041322,0.232493,0.077844,0.193182,0.17207,0.25,0.239193,0.138889,0.197691,0.136364,0.0,0.104869,0.0,0.433333,0.043084,0.111111,0.138716,0.239193,0.082949,0.123986,0.153846,0.289308,0.19883,0.0,0.580756,0.144068,0.168478,1.0,0.166667,0.0,0.146384,0.0,0.557971,0.090604,0.071864,0.075544,0.167883,0.0,0.160714,0.246291,0.28655,0.097744,0.151242,0.0,0.0,0.0,0.0,0.0,0.204819,0.036717,0.17284,0.161137,0.0,0.068111,0.081481,0.116838,0.126126,0.123288,0.0,0.0859,0.263441,0.0,0.170483,0.0,0.088608,0.205128,0.143911,0.0,0.616541,0.087963,0.0,0.136821,0.149675,0.035714,0.111111,0.25,0.147541,0.120332,0.0,0.157895,0.124088,0.07753,0.0,0.225296,0.246201,0.147541,0.049618,0.169065,0.150972,0.246291,0.36646,0.359447,0.421801,0.361789,0.107544,0.0,0.226158,0.079812,0.0,0.185345,0.528662,0.501502,0.42562,0.025,0.152019,0.424051,0.070155,0.30719,0.037528,0.232493
Favipiravir,0.166667,0.217391,0.276596,0.276596,0.0,0.021277,0.114865,0.099656,0.154639,0.079734,0.166253,0.157407,0.119134,0.120219,0.294643,0.201413,0.115385,0.107011,0.090047,0.092044,0.019608,0.0,0.164557,0.06599,0.327434,0.0,0.179625,0.129032,0.107011,0.188811,0.085271,0.116751,0.12,0.12,0.0,0.178571,0.078947,0.087928,0.166667,1.0,0.0,0.019608,0.0,0.2,0.0,0.116071,0.107644,0.15894,0.0,0.04,0.193416,0.192308,0.088929,0.082725,0.0,0.0,0.0,0.0,0.0,0.125,0.083591,0.065375,0.074589,0.0,0.089494,0.086957,0.104034,0.182109,0.176471,0.0,0.099796,0.164384,0.0,0.089109,0.0,0.119632,0.14094,0.0,0.0,0.2,0.086262,0.0,0.062699,0.136364,0.111111,0.212938,0.11332,0.26087,0.078947,0.0,0.09777,0.103448,0.111111,0.0,0.020833,0.133603,0.141732,0.129032,0.125541,0.136767,0.111111,0.265306,0.119221,0.160494,0.136842,0.091618,0.0,0.099656,0.089109,0.0,0.129032,0.166667,0.15625,0.098039,0.059908,0.075544,0.254902,0.098431,0.125,0.086262,0.119134
Fomivirsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fosamprenavir,0.048387,0.017544,0.107011,0.107011,0.056751,0.89781,0.248375,0.318373,0.242775,0.271754,0.120815,0.141227,0.089286,0.116352,0.029668,0.272366,0.204082,0.02916,0.352459,0.336898,0.740977,0.0,0.217949,0.041968,0.132075,0.0,0.159875,0.19403,0.119403,0.176471,0.285231,0.264957,0.035714,0.086142,0.0,0.060606,0.193277,0.310433,0.142355,0.019608,0.0,1.0,0.068182,0.067616,0.084656,0.219512,0.212485,0.267057,0.0,0.191489,0.119545,0.276151,0.287554,0.204453,0.0,0.0,0.0,0.0,0.0,0.108949,0.136364,0.152648,0.227321,0.0,0.174863,0.384615,0.246201,0.124161,0.16,0.07943,0.395349,0.19403,0.0,0.133094,0.0,0.221827,0.245136,0.132075,0.0,0.077199,0.126761,0.066667,0.191567,0.206897,0.175549,0.086957,0.283582,0.0,0.175497,0.09375,0.370262,0.342857,0.246851,0.0,0.282468,0.028369,0.0,0.135647,0.153305,0.192893,0.078611,0.182171,0.314879,0.21643,0.194879,0.285501,0.0,0.074523,0.117021,0.0,0.313869,0.190476,0.149228,0.14514,0.257942,0.240479,0.047297,0.177118,0.130952,0.13879,0.113139
Foscarnet,0.0,0.0,0.22549,0.22549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054054,0.0,0.0,0.0,0.0,0.0,0.030303,0.0,0.0,0.0,0.068182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105263,0.0,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.071429,0.054054,0.0,0.0,0.040816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160714,0.0,0.0,0.074074,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214953,0.0,0.0,0.042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074074,0.0
Ganciclovir,0.452703,0.884817,0.397059,0.397059,0.0,0.072797,0.042254,0.104294,0.122807,0.067251,0.120163,0.046931,0.418182,0.060606,0.217105,0.160221,0.37037,0.381818,0.096866,0.112696,0.067616,0.0,0.141649,0.098901,0.767442,0.076115,0.127983,0.184834,0.381818,0.111111,0.123321,0.179138,0.411765,0.368821,0.0,0.687243,0.158392,0.08871,0.514085,0.2,0.0,0.067616,0.0,1.0,0.0,0.07513,0.066127,0.15903,0.0,0.049383,0.396226,0.258065,0.135225,0.190184,0.0,0.0,0.0,0.0,0.0,0.383399,0.122715,0.094737,0.088993,0.0,0.09029,0.091493,0.119403,0.29683,0.165049,0.0,0.083916,0.22807,0.0,0.105121,0.0,0.08,0.09375,0.078838,0.0,0.652174,0.05,0.0,0.107692,0.20603,0.055777,0.149675,0.134752,0.423077,0.177885,0.0,0.104294,0.104294,0.081461,0.0,0.108949,0.353383,0.375465,0.0,0.129944,0.157556,0.396226,0.541502,0.33995,0.331719,0.283644,0.079258,0.0,0.355932,0.076115,0.0,0.106195,0.634981,0.595745,0.2749,0.026667,0.1071,0.694915,0.061174,0.434426,0.129032,0.322034
Geldanamycin,0.105442,0.0,0.0,0.0,0.144068,0.089385,0.22293,0.042129,0.154362,0.14873,0.193798,0.100413,0.103074,0.173554,0.0,0.0,0.0,0.104972,0.057692,0.098901,0.117166,0.0,0.0,0.20603,0.102941,0.0,0.140216,0.0,0.104972,0.027287,0.149194,0.138462,0.070111,0.050725,0.0,0.097561,0.0,0.232057,0.076159,0.0,0.0,0.084656,0.0,0.0,1.0,0.146288,0.224242,0.0,0.0,0.0,0.106942,0.0,0.073986,0.050309,0.0,0.0,0.0,0.0,0.0,0.051661,0.169065,0.165354,0.089015,0.0,0.155914,0.051402,0.070496,0.092985,0.08209,0.0,0.078306,0.187384,0.0,0.162362,0.0,0.186636,0.191806,0.137441,0.0,0.0,0.099656,0.0,0.101695,0.0,0.24792,0.0,0.160594,0.088561,0.0,0.138211,0.060948,0.069397,0.225248,0.0,0.158358,0.070111,0.106942,0.142857,0.0,0.104583,0.102804,0.0,0.064426,0.039136,0.035758,0.11399,0.0,0.101243,0.120996,0.0,0.055718,0.096121,0.107438,0.066998,0.054313,0.097209,0.099291,0.257344,0.085714,0.170018,0.085409
Glecaprevir,0.164021,0.077128,0.073739,0.073739,0.096866,0.260924,0.517857,0.125,0.175836,0.319911,0.17096,0.318822,0.127517,0.163366,0.102151,0.0971,0.062176,0.127717,0.196078,0.22145,0.238208,0.0,0.257942,0.205584,0.155989,0.0,0.25974,0.074661,0.141678,0.167785,0.227599,0.139835,0.108071,0.091644,0.0,0.152815,0.077982,0.473684,0.071864,0.101322,0.0,0.194539,0.0,0.07513,0.141304,1.0,0.684783,0.09589,0.0,0.053333,0.143654,0.147541,0.297359,0.168724,0.0,0.0,0.0,0.0,0.0,0.092896,0.119593,0.107306,0.156748,0.0,0.187364,0.273957,0.258993,0.187335,0.148936,0.052632,0.364796,0.175676,0.0,0.083123,0.0,0.393805,0.039427,0.082317,0.0,0.07513,0.095718,0.0,0.156463,0.134146,0.135574,0.17506,0.148577,0.127923,0.068182,0.107994,0.180626,0.304348,0.375423,0.0,0.147357,0.087248,0.099196,0.17866,0.112288,0.231579,0.143654,0.072797,0.086718,0.060445,0.056269,0.19256,0.0,0.137885,0.12713,0.0,0.108518,0.07056,0.068884,0.056202,0.508035,0.239819,0.136364,0.838755,0.149425,0.132812,0.115538
Grazoprevir,0.147541,0.067961,0.06469,0.06469,0.114504,0.210986,0.57967,0.236324,0.1959,0.376812,0.258191,0.294118,0.103448,0.168831,0.081831,0.13079,0.054054,0.107994,0.181181,0.220513,0.334214,0.0,0.290761,0.223118,0.138329,0.0,0.260163,0.10303,0.104895,0.21345,0.220183,0.175727,0.106322,0.096866,0.0,0.091877,0.105651,0.5621,0.075544,0.107644,0.0,0.189635,0.0,0.066127,0.116022,0.684783,1.0,0.129032,0.0,0.068376,0.106383,0.141227,0.342365,0.183533,0.0,0.0,0.0,0.0,0.0,0.098266,0.161826,0.143911,0.214869,0.0,0.165372,0.257209,0.27044,0.184573,0.156156,0.069837,0.290727,0.16737,0.0,0.099196,0.0,0.46283,0.144828,0.073718,0.0,0.066127,0.149584,0.0,0.21732,0.092025,0.222367,0.240106,0.125402,0.150442,0.071429,0.124438,0.156602,0.340451,0.497462,0.0,0.114903,0.101574,0.092437,0.221477,0.107456,0.379731,0.106383,0.075269,0.100811,0.052632,0.04888,0.155116,0.0,0.102041,0.151685,0.0,0.05814,0.061947,0.060419,0.06599,0.592443,0.219065,0.145686,0.866667,0.129272,0.135431,0.11576
Hydroxychloroquine,0.246753,0.168091,0.211268,0.211268,0.0,0.289641,0.173848,0.232,0.144279,0.128799,0.12782,0.125,0.19891,0.186813,0.25,0.950207,0.153846,0.178082,0.15493,0.147994,0.267057,0.0,0.252654,0.033835,0.184573,0.147132,0.247265,0.190476,0.184573,0.175,0.147929,0.210191,0.164773,0.164773,0.0,0.144279,0.218962,0.171662,0.167883,0.15894,0.0,0.267057,0.0,0.15903,0.0,0.116751,0.129032,1.0,0.0,0.246006,0.157025,0.290323,0.256454,0.168385,0.0,0.0,0.0,0.0,0.0,0.173021,0.041215,0.075472,0.135574,0.0,0.146179,0.156894,0.173285,0.37741,0.289308,0.0,0.17338,0.233596,0.0,0.113801,0.0,0.130092,0.189873,0.033333,0.0,0.221591,0.180905,0.0,0.104594,0.215596,0.126214,0.218487,0.202091,0.126005,0.294964,0.133721,0.208791,0.17737,0.195335,0.0,0.227723,0.188406,0.126005,0.134021,0.177536,0.154423,0.183099,0.182796,0.199187,0.12782,0.112957,0.223404,0.0,0.168831,0.090047,0.0,0.29108,0.165049,0.133787,0.131148,0.090426,0.126597,0.174935,0.133501,0.173021,0.042129,0.173333
Ibalizumab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibuprofen,0.0,0.0,0.0,0.0,0.0,0.209302,0.116427,0.144781,0.158301,0.15192,0.153846,0.065089,0.111111,0.256983,0.057692,0.333333,0.122449,0.082803,0.153239,0.167192,0.191489,0.0,0.179245,0.0,0.0,0.0,0.167883,0.164557,0.125828,0.206349,0.135484,0.28,0.059603,0.059603,0.0,0.0,0.17801,0.175573,0.160714,0.04,0.0,0.191489,0.105263,0.049383,0.0,0.053333,0.068376,0.322034,0.0,1.0,0.057692,0.325758,0.176471,0.134146,0.0,0.0,0.0,0.0,0.0,0.068966,0.21118,0.165049,0.135204,0.0,0.214575,0.198502,0.230769,0.151685,0.25,0.0,0.155378,0.202532,0.0,0.078717,0.0,0.103152,0.12426,0.089109,0.0,0.118421,0.30137,0.151832,0.102863,0.205479,0.14486,0.166667,0.263158,0.0,0.17801,0.339286,0.168385,0.148649,0.160572,0.0,0.283293,0.09589,0.0,0.201044,0.133603,0.069182,0.085526,0.060606,0.305483,0.080508,0.111111,0.176471,0.0,0.077844,0.0,0.0,0.155779,0.104816,0.099196,0.065719,0.092814,0.148825,0.0,0.062992,0.068966,0.217949,0.086957
Idoxuridine,0.261261,0.325758,0.182109,0.182109,0.131387,0.129363,0.084695,0.056548,0.158088,0.116279,0.22449,0.053604,0.809524,0.15942,0.417323,0.096257,0.363636,0.813725,0.024259,0.120815,0.106942,0.0,0.081633,0.088889,0.53527,0.129944,0.208531,0.186441,0.85,0.174785,0.104369,0.205674,0.77665,0.650943,0.0,0.428571,0.162228,0.136364,0.150685,0.193416,0.0,0.119545,0.0,0.396226,0.106942,0.131034,0.106383,0.157025,0.0,0.057692,1.0,0.210191,0.078905,0.169306,0.0,0.0,0.0,0.0,0.0,0.596244,0.126005,0.120879,0.093936,0.0,0.16451,0.043614,0.168317,0.442623,0.151316,0.0,0.140187,0.184971,0.0,0.129944,0.0,0.086957,0.0,0.0,0.0,0.396226,0.135734,0.0,0.075377,0.06576,0.104034,0.168539,0.225681,0.37931,0.129412,0.122449,0.026012,0.11811,0.109489,0.0,0.424936,0.804124,0.37931,0.177885,0.119545,0.160131,0.865285,0.210191,0.142241,0.139241,0.121324,0.058824,0.0,0.772727,0.098901,0.0,0.134259,0.160221,0.349693,0.175373,0.065919,0.09375,0.48855,0.103811,0.761658,0.126374,0.727273
Imiquimod,0.358025,0.275862,0.382979,0.382979,0.0,0.272321,0.134644,0.183144,0.181818,0.239531,0.230769,0.12381,0.257862,0.179245,0.141141,0.299094,0.258278,0.234177,0.15899,0.207951,0.276151,0.0,0.29717,0.0,0.326531,0.0,0.283293,0.180556,0.266234,0.15903,0.181703,0.289538,0.321429,0.217105,0.0,0.329114,0.216545,0.248097,0.28655,0.192308,0.0,0.276151,0.0,0.258065,0.0,0.147541,0.154401,0.290323,0.0,0.25,0.210191,1.0,0.212654,0.151586,0.0,0.0,0.0,0.0,0.0,0.153846,0.045131,0.037182,0.194409,0.0,0.181818,0.195841,0.18677,0.239892,0.37037,0.0,0.17757,0.365079,0.0,0.044776,0.0,0.188406,0.043689,0.0,0.0,0.382979,0.069652,0.0,0.141361,0.186441,0.168831,0.19469,0.267057,0.292517,0.240695,0.057402,0.17175,0.237288,0.213064,0.0,0.228814,0.241611,0.328671,0.123348,0.28692,0.164274,0.24183,0.423488,0.40665,0.269841,0.232877,0.190476,0.0,0.220238,0.0,0.0,0.159091,0.294118,0.314286,0.203704,0.104816,0.169811,0.394558,0.142098,0.153846,0.046229,0.226994
Indinavir,0.104387,0.089109,0.102107,0.102107,0.123188,0.244573,0.27295,0.410788,0.27027,0.302149,0.209104,0.288433,0.076443,0.209801,0.111111,0.182266,0.075441,0.077655,0.40975,0.313869,0.293103,0.0,0.284404,0.167883,0.139028,0.0,0.255743,0.129944,0.077655,0.165049,0.309013,0.11413,0.03125,0.074919,0.0,0.105919,0.180867,0.332533,0.111111,0.088929,0.0,0.287554,0.0,0.135225,0.118012,0.297359,0.329268,0.160572,0.0,0.176471,0.078905,0.216931,1.0,0.306584,0.0,0.0,0.0,0.0,0.0,0.076159,0.175523,0.153305,0.256384,0.0,0.289438,0.473684,0.264045,0.117735,0.161972,0.083481,0.481481,0.241379,0.0,0.197302,0.0,0.338963,0.073025,0.0,0.0,0.154499,0.163166,0.0,0.301887,0.176471,0.201158,0.278891,0.251664,0.157168,0.202435,0.101549,0.420613,0.538462,0.199552,0.0,0.153846,0.045959,0.120401,0.225115,0.311953,0.378378,0.080645,0.104,0.174825,0.081425,0.074766,0.309192,0.0,0.075269,0.141479,0.0,0.225115,0.079882,0.121076,0.094296,0.272295,0.309013,0.107595,0.308305,0.126516,0.178396,0.061538
Inosine pranobex,0.151242,0.196474,0.149289,0.149289,0.0,0.202929,0.163605,0.253589,0.133641,0.192412,0.174047,0.133721,0.165279,0.13089,0.129412,0.15693,0.077441,0.164466,0.259259,0.17094,0.253952,0.0,0.148374,0.056202,0.240409,0.048218,0.196121,0.144958,0.167268,0.090713,0.266779,0.192266,0.147343,0.125592,0.0,0.20048,0.139241,0.201717,0.139665,0.082725,0.0,0.193581,0.02439,0.190184,0.050309,0.155411,0.144279,0.156463,0.0,0.134146,0.169306,0.151586,0.273821,1.0,0.0,0.0,0.0,0.0,0.0,0.128451,0.151242,0.126904,0.294719,0.0,0.223881,0.175926,0.203236,0.202312,0.083238,0.0,0.25649,0.171694,0.0,0.103753,0.0,0.148482,0.018145,0.021635,0.0,0.150652,0.163594,0.034063,0.114076,0.063618,0.121121,0.196581,0.23,0.183724,0.176471,0.020856,0.294466,0.283056,0.14962,0.0,0.262242,0.152913,0.179361,0.122554,0.144231,0.217472,0.165049,0.150235,0.258352,0.189979,0.244856,0.186114,0.0,0.163337,0.156069,0.0,0.177106,0.215733,0.183163,0.131555,0.097659,0.285106,0.25,0.131186,0.156212,0.142534,0.151586
Interferon alfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Interferon alfa-2a, Recombinant",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interferon alfa-n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interferon alfacon-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interferon beta-1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamivudine,0.290323,0.416309,0.236749,0.236749,0.035714,0.118143,0.09063,0.059908,0.13806,0.076923,0.152993,0.117886,0.545064,0.127451,0.328125,0.114286,0.465517,0.569507,0.042254,0.071429,0.096154,0.0,0.146067,0.082949,0.434426,0.052632,0.161137,0.166253,0.569507,0.160714,0.090686,0.111111,0.709845,0.929825,0.0,0.310345,0.243243,0.067031,0.204819,0.125,0.0,0.108949,0.0,0.383399,0.051661,0.092896,0.098266,0.173021,0.0,0.068966,0.596244,0.153846,0.076159,0.11639,0.0,0.0,0.0,0.0,0.0,1.0,0.101928,0.076923,0.068884,0.0,0.051724,0.031746,0.117647,0.346154,0.064516,0.0,0.084559,0.174699,0.0,0.049724,0.0,0.080332,0.0,0.0,0.0,0.320755,0.026316,0.0,0.057402,0.089588,0.116071,0.146789,0.144465,0.349206,0.173469,0.033333,0.045455,0.091772,0.070912,0.0,0.304348,0.609756,0.349206,0.068182,0.133201,0.081505,0.603774,0.228669,0.151242,0.147903,0.128107,0.068301,0.0,0.522634,0.027027,0.0,0.108491,0.311475,0.288344,0.121324,0.097923,0.092025,0.406844,0.093333,0.767956,0.104816,0.545064
