DRUG2,Abacavir,Acyclovir,Adefovir,Adefovir dipivoxil,Amantadine,Amprenavir,Asunaprevir,Atazanavir,Baloxavir marboxil,Beclabuvir,Bictegravir,Boceprevir,Brivudine,Calanolide A,Carmofur,Chloroquine,Cidofovir,Clevudine,Cobicistat,Daclatasvir,Darunavir,Dasabuvir,Delavirdine,Dexamethasone,Didanosine,Docosanol,Dolutegravir,Doravirine,Edoxudine,Efavirenz,Elbasvir,Elvitegravir,Elvucitabine,Emtricitabine,Enfuvirtide,Entecavir,Etravirine,Faldaprevir,Famciclovir,Favipiravir,Fomivirsen,Fosamprenavir,Foscarnet,Ganciclovir,Geldanamycin,Glecaprevir,Grazoprevir,Hydroxychloroquine,Ibalizumab,Ibuprofen,Idoxuridine,Imiquimod,Indinavir,Inosine pranobex,Interferon alfa,"Interferon alfa-2a, Recombinant",Interferon alfa-n1,Interferon alfacon-1,Interferon beta-1a,Lamivudine,Laninamivir,Laninamivir octanoate,Ledipasvir,Leronlimab,Letermovir,Lopinavir,Maraviroc,Maribavir,Metisazone,Moroxydine,Nelfinavir,Nevirapine,Ombitasvir,Oseltamivir,Palivizumab,Paritaprevir,Peginterferon alfa-2a,Peginterferon alfa-2b,Peginterferon alfacon-1,Penciclovir,Peramivir,Phosphonoacetic Acid,Pibrentasvir,Pleconaril,Podofilox,Raltegravir,Remdesivir,Ribavirin,Rilpivirine,Rimantadine,Ritonavir,Saquinavir,Simeprevir,Sinecatechins,Sofosbuvir,Stavudine,Taribavirin,Tecovirimat,Tegobuvir,Telaprevir,Telbivudine,Tenofovir,Tenofovir alafenamide,Tenofovir disoproxil,Tenofovir disoproxil fumarate,Tipranavir,Triazavirin,Trifluridine,Tromantadine,UC-781,Umifenovir,Valaciclovir,Valganciclovir,Valomaciclovir,Vaniprevir,Velpatasvir,Vidarabine,Voxilaprevir,Zalcitabine,Zanamivir,Zidovudine
Doravirine,0.141079,0.19403,0.131222,0.131222,0.0,0.166381,0.115435,0.111111,0.214058,0.172414,0.285988,0.0,0.197183,0.173077,0.183575,0.221719,0.161137,0.179245,0.16188,0.170351,0.155698,0.0,0.191336,0.0,0.154734,0.0,0.300813,1.0,0.136364,0.24424,0.155556,0.207547,0.162228,0.162228,0.0,0.169978,0.314655,0.141104,0.141079,0.129032,0.0,0.155698,0.0,0.184834,0.0,0.074661,0.10303,0.216814,0.0,0.108434,0.186441,0.180556,0.183432,0.144958,0.0,0.0,0.0,0.0,0.0,0.166253,0.0,0.0,0.151316,0.0,0.237785,0.149425,0.204013,0.160896,0.108545,0.0,0.182109,0.313869,0.0,0.0,0.0,0.115108,0.0,0.0,0.0,0.179245,0.0,0.0,0.13852,0.25261,0.169065,0.374207,0.142857,0.212871,0.189084,0.0,0.173184,0.145975,0.123737,0.0,0.263736,0.20603,0.212871,0.163227,0.278863,0.046077,0.183575,0.128319,0.213235,0.094771,0.085044,0.216,0.0,0.283951,0.0,0.0,0.227723,0.165254,0.135458,0.099855,0.058264,0.130435,0.12311,0.096045,0.166253,0.0,0.194379
Edoxudine,0.253644,0.313869,0.176471,0.176471,0.126761,0.129032,0.122914,0.081081,0.09777,0.14241,0.241535,0.052632,0.911765,0.209877,0.401515,0.122995,0.350365,0.853659,0.051913,0.11588,0.169591,0.0,0.115702,0.086957,0.513944,0.213018,0.226415,0.136364,1.0,0.22807,0.124694,0.223529,0.658986,0.551724,0.0,0.413793,0.081678,0.160458,0.146667,0.123596,0.0,0.119403,0.0,0.381818,0.104972,0.129252,0.104895,0.184573,0.0,0.125828,0.85,0.266234,0.077655,0.167268,0.0,0.0,0.0,0.0,0.0,0.569507,0.122715,0.18451,0.092832,0.0,0.13879,0.05919,0.202405,0.384615,0.168831,0.0,0.137615,0.206897,0.0,0.213018,0.0,0.163793,0.0,0.0,0.0,0.381818,0.346154,0.0,0.074627,0.103448,0.137339,0.164835,0.245136,0.365314,0.150235,0.118421,0.055718,0.16129,0.134021,0.0,0.414392,0.846154,0.365314,0.219512,0.174168,0.176471,0.907216,0.203704,0.139241,0.136364,0.119134,0.063123,0.0,0.809955,0.096257,0.0,0.213592,0.155914,0.339286,0.19403,0.065007,0.09134,0.470588,0.102464,0.724138,0.122995,0.764706
Efavirenz,0.157635,0.117318,0.090909,0.090909,0.272085,0.169591,0.189024,0.070423,0.148649,0.129032,0.189516,0.107143,0.21813,0.159737,0.120219,0.179487,0.120219,0.144414,0.096076,0.105121,0.174312,0.0,0.213389,0.090909,0.22807,0.0,0.212121,0.216216,0.22807,1.0,0.100917,0.098039,0.078167,0.156069,0.0,0.150895,0.125265,0.112565,0.082949,0.156463,0.0,0.157324,0.0,0.111111,0.027287,0.196699,0.211679,0.175,0.0,0.183801,0.174785,0.268437,0.15016,0.090713,0.0,0.0,0.0,0.0,0.0,0.160714,0.0,0.0,0.122685,0.0,0.172414,0.130298,0.116928,0.209877,0.298701,0.029412,0.161972,0.295775,0.0,0.125,0.0,0.165981,0.0,0.132075,0.0,0.111111,0.038375,0.0,0.108911,0.232227,0.269488,0.113281,0.139028,0.0,0.167401,0.254125,0.087268,0.127596,0.109589,0.0,0.161905,0.152738,0.0,0.25,0.163636,0.079545,0.205882,0.085859,0.124031,0.063063,0.056,0.295238,0.0,0.260745,0.206434,0.0,0.102041,0.098131,0.09375,0.065831,0.214393,0.133412,0.105528,0.155844,0.196319,0.0,0.194444
Elbasvir,0.130536,0.115242,0.090047,0.090047,0.080402,0.208791,0.299492,0.444954,0.284004,0.284125,0.189956,0.230769,0.123188,0.188005,0.129032,0.13879,0.063084,0.121951,0.371728,0.677255,0.314879,0.0,0.254355,0.086729,0.120585,0.0,0.196388,0.152993,0.124694,0.100917,1.0,0.218391,0.100244,0.089588,0.0,0.115023,0.237981,0.304348,0.123986,0.085271,0.0,0.28234,0.0,0.123321,0.149194,0.238698,0.219065,0.147929,0.0,0.136951,0.104369,0.181703,0.310419,0.275338,0.0,0.0,0.0,0.0,0.0,0.080097,0.120092,0.132479,0.529657,0.0,0.226611,0.340659,0.244541,0.167453,0.06383,0.046798,0.266376,0.13879,0.0,0.105937,0.0,0.29683,0.175031,0.037613,0.0,0.121951,0.113689,0.0,0.534091,0.151242,0.166848,0.239861,0.227888,0.122072,0.189376,0.089109,0.365114,0.351931,0.254789,0.0,0.243001,0.123596,0.119311,0.129207,0.270903,0.246291,0.115196,0.091549,0.221719,0.200441,0.186094,0.18593,0.0,0.111111,0.095732,0.0,0.214953,0.185819,0.170213,0.187123,0.164444,0.602634,0.107185,0.216098,0.096059,0.121495,0.123188
Elvitegravir,0.156187,0.160093,0.125541,0.125541,0.0,0.286765,0.141375,0.242775,0.315346,0.234043,0.311787,0.142857,0.218391,0.175373,0.128319,0.23348,0.13082,0.223529,0.239782,0.202614,0.312057,0.0,0.273408,0.07563,0.200924,0.072125,0.380753,0.226054,0.223529,0.212121,0.218391,1.0,0.176471,0.157407,0.0,0.20614,0.25,0.266667,0.153846,0.116751,0.0,0.309735,0.054054,0.179138,0.12462,0.096045,0.1625,0.210191,0.0,0.28,0.205674,0.289538,0.11869,0.182109,0.0,0.0,0.0,0.0,0.0,0.111111,0.215352,0.176471,0.227064,0.0,0.349481,0.301587,0.172742,0.314031,0.126126,0.0,0.239804,0.161826,0.0,0.049618,0.0,0.175743,0.117764,0.123596,0.0,0.203704,0.169102,0.075269,0.199607,0.242485,0.259398,0.243043,0.169415,0.115974,0.240157,0.061947,0.272189,0.233859,0.163683,0.0,0.18928,0.228501,0.118421,0.09215,0.284722,0.15747,0.228916,0.149675,0.271028,0.144279,0.178295,0.14202,0.0,0.213483,0.0,0.0,0.292929,0.202532,0.18,0.140351,0.13608,0.235431,0.166307,0.151163,0.158392,0.19403,0.218391
Elvucitabine,0.366667,0.399177,0.228669,0.228669,0.0,0.038462,0.057269,0.059002,0.150278,0.099071,0.191011,0.09375,0.629956,0.135266,0.372549,0.108033,0.434426,0.674419,0.041667,0.055556,0.074074,0.0,0.101695,0.103448,0.512605,0.127168,0.179245,0.162228,0.658986,0.123596,0.112485,0.176471,1.0,0.770833,0.0,0.331058,0.19898,0.112676,0.289308,0.12,0.0,0.035714,0.0,0.411765,0.084112,0.105048,0.106322,0.164773,0.0,0.059603,0.77665,0.321429,0.03125,0.147343,0.0,0.0,0.0,0.0,0.0,0.709845,0.120219,0.116071,0.066823,0.0,0.167608,0.03125,0.186094,0.414474,0.156463,0.0,0.034483,0.136364,0.0,0.092437,0.0,0.122159,0.0,0.0,0.0,0.348315,0.0,0.0,0.048467,0.138614,0.040816,0.169725,0.22288,0.422764,0.146341,0.0,0.044776,0.060606,0.116071,0.0,0.344743,0.761658,0.422764,0.156627,0.186094,0.092044,0.707317,0.254237,0.168539,0.164835,0.142857,0.049069,0.0,0.603376,0.0,0.0,0.2,0.301587,0.310976,0.119134,0.065341,0.090909,0.484375,0.100796,0.864407,0.186944,0.629956
Emtricitabine,0.28125,0.399177,0.232877,0.232877,0.034483,0.093117,0.073025,0.059002,0.161049,0.075758,0.175166,0.135903,0.528926,0.13253,0.372549,0.108033,0.440329,0.551724,0.041667,0.070423,0.074074,0.0,0.101695,0.081081,0.422925,0.051213,0.184834,0.162228,0.551724,0.156069,0.101591,0.157407,0.770833,1.0,0.0,0.3,0.19898,0.079235,0.19883,0.12,0.0,0.086142,0.0,0.368821,0.050725,0.091644,0.084507,0.164773,0.0,0.059603,0.650943,0.217105,0.074919,0.125592,0.0,0.0,0.0,0.0,0.0,0.929825,0.096257,0.075269,0.06933,0.0,0.154562,0.03125,0.130604,0.339564,0.156463,0.0,0.083032,0.169591,0.0,0.048387,0.0,0.079235,0.0,0.0,0.0,0.309091,0.025641,0.0,0.057884,0.138614,0.115974,0.169725,0.185468,0.335878,0.146341,0.032258,0.044776,0.086957,0.071429,0.0,0.294118,0.588785,0.335878,0.081081,0.130604,0.076923,0.58371,0.225166,0.150442,0.147186,0.12782,0.033333,0.0,0.507937,0.026316,0.0,0.132075,0.301587,0.279762,0.119134,0.096491,0.090909,0.397059,0.092105,0.71875,0.098901,0.528926
Enfuvirtide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entecavir,0.554054,0.61157,0.389831,0.389831,0.174497,0.064982,0.120815,0.054852,0.098361,0.119293,0.200828,0.182171,0.4,0.206497,0.197605,0.094891,0.23839,0.443662,0.06383,0.131285,0.080617,0.0,0.17284,0.118143,0.620553,0.139896,0.141079,0.169978,0.413793,0.150895,0.125592,0.20614,0.335616,0.3,0.0,1.0,0.256039,0.135135,0.580756,0.178571,0.0,0.060606,0.0,0.614173,0.097561,0.152815,0.105121,0.144279,0.0,0.0,0.428571,0.329114,0.105919,0.20048,0.0,0.0,0.0,0.0,0.0,0.310345,0.111111,0.070039,0.132075,0.0,0.133672,0.028986,0.193182,0.322314,0.147059,0.0,0.146384,0.232877,0.0,0.089109,0.0,0.124498,0.0,0.0,0.0,0.673469,0.145038,0.0,0.10119,0.103896,0.147541,0.115538,0.198569,0.351351,0.280788,0.163522,0.068376,0.157407,0.151079,0.0,0.242236,0.373239,0.403509,0.113445,0.105263,0.051893,0.423488,0.418919,0.278027,0.27193,0.235741,0.045242,0.0,0.387097,0.134021,0.0,0.177778,0.389728,0.395349,0.293436,0.085482,0.111111,0.569343,0.15942,0.347518,0.113861,0.354839
Etravirine,0.166307,0.166253,0.163895,0.163895,0.0,0.227106,0.103896,0.224189,0.25,0.176471,0.206581,0.0,0.077586,0.129944,0.185185,0.224018,0.156627,0.084071,0.176471,0.215847,0.193277,0.0,0.238095,0.0,0.134259,0.0,0.237721,0.314655,0.081678,0.167401,0.199069,0.25,0.19898,0.19898,0.0,0.256039,1.0,0.199478,0.144068,0.078947,0.0,0.211604,0.0,0.158392,0.0,0.077982,0.094891,0.218962,0.0,0.17801,0.185185,0.216545,0.180867,0.157556,0.0,0.0,0.0,0.0,0.0,0.243243,0.0,0.0,0.185861,0.0,0.327434,0.261981,0.213675,0.244444,0.183879,0.0,0.208609,0.295844,0.0,0.0,0.0,0.181001,0.0,0.0,0.0,0.113636,0.0,0.0,0.185259,0.375291,0.28,0.252446,0.311189,0.083521,0.704545,0.0,0.189112,0.208151,0.128205,0.0,0.129568,0.087963,0.083521,0.125461,0.302752,0.034913,0.085973,0.160093,0.245211,0.116751,0.104387,0.25,0.0,0.078224,0.0,0.0,0.334792,0.141649,0.098039,0.071429,0.09589,0.236495,0.156463,0.088435,0.270718,0.0,0.082251
